user_id,task_count,event_count,activity_cluster
2743,9,6,High Activity
3646,9,6,High Activity
4705,9,5,High Activity
7957,9,0,High Activity
3430,8,6,High Activity
3450,8,6,High Activity
3476,8,6,High Activity
5773,8,3,High Activity
6288,8,2,High Activity
7183,8,0,High Activity
8309,8,0,High Activity
8898,8,0,High Activity
9414,8,0,High Activity
125,7,6,High Activity
168,7,6,High Activity
286,7,6,High Activity
412,7,6,High Activity
573,7,6,High Activity
825,7,6,High Activity
918,7,6,High Activity
974,7,6,High Activity
1469,7,6,High Activity
1880,7,6,High Activity
2035,7,6,High Activity
2189,7,6,High Activity
2399,7,6,High Activity
2445,7,6,High Activity
2742,7,6,High Activity
3156,7,6,High Activity
3961,7,6,High Activity
4279,7,6,High Activity
4692,7,5,High Activity
4750,7,5,High Activity
4982,7,5,High Activity
5256,7,4,High Activity
5345,7,4,High Activity
5731,7,3,High Activity
5910,7,3,High Activity
6093,7,2,High Activity
6133,7,2,High Activity
6777,7,1,High Activity
6830,7,1,High Activity
6878,7,1,High Activity
7079,7,0,High Activity
7209,7,0,High Activity
7298,7,0,High Activity
7596,7,0,High Activity
7920,7,0,High Activity
7982,7,0,High Activity
8001,7,0,High Activity
8409,7,0,High Activity
8481,7,0,High Activity
8669,7,0,High Activity
8761,7,0,High Activity
8786,7,0,High Activity
9120,7,0,High Activity
9355,7,0,High Activity
9368,7,0,High Activity
9449,7,0,High Activity
9930,7,0,High Activity
10,6,6,High Activity
84,6,6,High Activity
94,6,6,High Activity
331,6,6,High Activity
376,6,6,High Activity
398,6,6,High Activity
520,6,6,High Activity
542,6,6,High Activity
639,6,6,High Activity
665,6,6,High Activity
672,6,6,High Activity
777,6,6,High Activity
794,6,6,High Activity
854,6,6,High Activity
921,6,6,High Activity
1131,6,6,High Activity
1175,6,6,High Activity
1190,6,6,High Activity
1344,6,6,High Activity
1375,6,6,High Activity
1377,6,6,High Activity
1402,6,6,High Activity
1407,6,6,High Activity
1417,6,6,High Activity
1625,6,6,High Activity
1643,6,6,High Activity
1669,6,6,High Activity
1705,6,6,High Activity
1944,6,6,High Activity
1986,6,6,High Activity
2037,6,6,High Activity
2056,6,6,High Activity
2222,6,6,High Activity
2278,6,6,High Activity
2562,6,6,High Activity
2581,6,6,High Activity
2621,6,6,High Activity
2660,6,6,High Activity
2809,6,6,High Activity
2863,6,6,High Activity
2903,6,6,High Activity
3040,6,6,High Activity
3102,6,6,High Activity
3135,6,6,High Activity
3304,6,6,High Activity
3543,6,6,High Activity
3597,6,6,High Activity
3613,6,6,High Activity
3638,6,6,High Activity
3742,6,6,High Activity
3826,6,6,High Activity
3971,6,6,High Activity
4062,6,6,High Activity
4107,6,6,High Activity
4188,6,6,High Activity
4610,6,5,High Activity
4654,6,5,High Activity
4833,6,5,High Activity
4921,6,5,High Activity
5031,6,4,High Activity
5054,6,4,High Activity
5180,6,4,High Activity
5222,6,4,High Activity
5309,6,4,High Activity
5431,6,4,High Activity
5446,6,4,High Activity
5453,6,4,High Activity
5525,6,3,High Activity
5697,6,3,High Activity
5774,6,3,High Activity
5780,6,3,High Activity
5838,6,3,High Activity
5847,6,3,High Activity
5899,6,3,High Activity
5959,6,3,High Activity
6391,6,2,High Activity
6402,6,2,High Activity
6524,6,1,High Activity
6695,6,1,High Activity
6956,6,1,High Activity
6991,6,1,High Activity
6998,6,1,High Activity
7121,6,0,High Activity
7196,6,0,High Activity
7371,6,0,High Activity
7377,6,0,High Activity
7385,6,0,High Activity
7405,6,0,High Activity
7603,6,0,High Activity
7641,6,0,High Activity
7658,6,0,High Activity
7698,6,0,High Activity
7855,6,0,High Activity
8103,6,0,High Activity
8136,6,0,High Activity
8179,6,0,High Activity
8329,6,0,High Activity
8418,6,0,High Activity
8532,6,0,High Activity
8738,6,0,High Activity
8836,6,0,High Activity
8854,6,0,High Activity
8943,6,0,High Activity
9076,6,0,High Activity
9092,6,0,High Activity
9204,6,0,High Activity
9219,6,0,High Activity
9307,6,0,High Activity
9515,6,0,High Activity
9657,6,0,High Activity
9771,6,0,High Activity
9782,6,0,High Activity
127,5,6,Medium Activity
158,5,6,Medium Activity
209,5,6,Medium Activity
253,5,6,Medium Activity
284,5,6,Medium Activity
